timestep,value,mean_count,sd_count,new_class,area,scenario
2010,2,103477,0,Urban,83816.37000000001,47
2010,4,76245,0,Roads,61758.450000000004,47
2010,5,24666,0,Water,19979.460000000003,47
2010,6,25524,0,Wetlands,20674.440000000002,47
2010,11,44121,0,decid_1,35738.01,47
2010,12,257125,0,decid_2,208271.25,47
2010,13,4486,0,decid_3,3633.6600000000003,47
2010,21,9130,0,mixt_1,7395.3,47
2010,22,82930,0,mixt_2,67173.3,47
2010,23,3980,0,mixt_3,3223.8,47
2010,31,1183,0,conif_1,958.23,47
2010,32,17296,0,conif_2,14009.76,47
2010,33,4067,0,conif_3,3294.2700000000004,47
2100,1,622913.5,407.5657411183297,Agriculture,504559.93500000006,47
2100,2,202478.8,364.22544910779885,Urban,164007.828,47
2100,4,76245,0,Roads,61758.450000000004,47
2100,5,24666,0,Water,19979.460000000003,47
2100,6,25524,0,Wetlands,20674.440000000002,47
2100,11,36698,94.97485047222882,decid_1,29725.38,47
2100,12,297894.4,584.5028656901521,decid_2,241294.46400000004,47
2100,13,3887,14.996295838935989,decid_3,3148.4700000000003,47
2100,21,7298.3,27.43497362451398,mixt_1,5911.6230000000005,47
2100,22,72001.4,153.9272555462482,mixt_2,58321.134,47
2100,23,3566.6,22.207105969836668,mixt_3,2888.946,47
2100,31,872.1,12.123897429823831,conif_1,706.4010000000001,47
2100,32,14958.6,39.88371987554711,conif_2,12116.466,47
2100,33,3714.3,15.958627064311573,conif_3,3008.5830000000005,47
2010,1,738488,0,Agriculture,598175.28,48
2010,2,103477,0,Urban,83816.37000000001,48
2010,4,76245,0,Roads,61758.450000000004,48
2010,5,24666,0,Water,19979.460000000003,48
2010,6,25524,0,Wetlands,20674.440000000002,48
2010,11,44121,0,decid_1,35738.01,48
2010,12,257125,0,decid_2,208271.25,48
2010,13,4486,0,decid_3,3633.6600000000003,48
2010,21,9130,0,mixt_1,7395.3,48
2010,22,82930,0,mixt_2,67173.3,48
2010,23,3980,0,mixt_3,3223.8,48
2010,31,1183,0,conif_1,958.23,48
2010,32,17296,0,conif_2,14009.76,48
2010,33,4067,0,conif_3,3294.2700000000004,48
2100,1,622764.4,561.0231130116953,Agriculture,504439.16400000005,48
2100,2,202557.6,395.22376221859713,Urban,164071.65600000002,48
2100,4,76245,0,Roads,61758.450000000004,48
2100,5,24666,0,Water,19979.460000000003,48
2100,6,25524,0,Wetlands,20674.440000000002,48
2100,11,8866.3,59.60434361502338,decid_1,7181.7029999999995,48
2100,12,330020.4,690.4432070939813,decid_2,267316.52400000003,48
2100,13,5932.2,177.74688620495033,decid_3,4805.082,48
2100,21,2416.9,43.28574309810974,mixt_1,1957.6890000000003,48
2100,22,79640.7,429.1386851719513,mixt_2,64508.967000000004,48
2100,23,3789.5,77.12651943397938,mixt_3,3069.4950000000003,48
2100,31,476.4,13.43461532344298,conif_1,385.884,48
2100,32,6951.2,85.22623487583569,conif_2,5630.472000000001,48
2100,33,2867.4,48.792531304607586,conif_3,2322.594,48
2010,1,738488,0,Agriculture,598175.28,49
2010,2,103477,0,Urban,83816.37000000001,49
2010,4,76245,0,Roads,61758.450000000004,49
2010,5,24666,0,Water,19979.460000000003,49
2010,6,25524,0,Wetlands,20674.440000000002,49
2010,11,44121,0,decid_1,35738.01,49
2010,12,257125,0,decid_2,208271.25,49
2010,13,4486,0,decid_3,3633.6600000000003,49
2010,21,9130,0,mixt_1,7395.3,49
2010,22,82930,0,mixt_2,67173.3,49
2010,23,3980,0,mixt_3,3223.8,49
2010,31,1183,0,conif_1,958.23,49
2010,32,17296,0,conif_2,14009.76,49
2010,33,4067,0,conif_3,3294.2700000000004,49
2100,1,622654.6,510.1255183231323,Agriculture,504350.226,49
2100,2,202526.3,422.60673865374594,Urban,164046.303,49
2100,4,76245,0,Roads,61758.450000000004,49
2100,5,24666,0,Water,19979.460000000003,49
2100,6,25524,0,Wetlands,20674.440000000002,49
2100,11,8573.3,86.49091153281817,decid_1,6944.373,49
2100,12,340644.4,788.2261660772807,decid_2,275921.96400000004,49
2100,13,12811.7,235.75507535481725,decid_3,10377.477,49
2100,21,2108.3,25.643062739592295,mixt_1,1707.7230000000002,49
2100,22,61555.1,218.91066163569508,mixt_2,49859.631,49
2100,23,4424,74.01801582497782,mixt_3,3583.44,49
2100,31,536.5,10.710846008706419,conif_1,434.56500000000005,49
2100,32,7144.1,27.818658806236108,conif_2,5786.7210000000005,49
2100,33,3304.7,51.41130442054765,conif_3,2676.8070000000002,49
