TransitionGroupID,Timestep,TertiaryStratumID,Amount,srcClassID,destClassID
conif_1_to_conif_3 [Type],0,7,0,31,33
conif_2_to_conif_3 [Type],0,7,0.028694515904319928,32,33
decid_2_to_decid_1 [Type],0,8,0.05553788940035087,12,11
decid_3_to_decid_1 [Type],0,8,0.0626565641329716,13,11
mixt_1_to_decid_1 [Type],0,8,0.036619329685811386,21,11
mixt_2_to_decid_1 [Type],0,8,0.04755898667792302,22,11
mixt_3_to_decid_1 [Type],0,8,0.0025806494634554866,23,11
conif_1_to_decid_1 [Type],0,8,9.358916416245533e-4,31,11
conif_2_to_decid_1 [Type],0,8,6.617195979138346e-4,32,11
conif_3_to_decid_1 [Type],0,8,0,33,11
decid_1_to_decid_2 [Type],0,8,0.12470595943762708,11,12
decid_3_to_decid_2 [Type],0,8,0.4045775127332131,13,12
mixt_1_to_decid_2 [Type],0,8,0.001037524055943706,21,12
mixt_2_to_decid_2 [Type],0,8,0.07774288249368877,22,12
mixt_3_to_decid_2 [Type],0,8,0.10855536373877939,23,12
conif_1_to_decid_2 [Type],0,8,0,31,12
conif_2_to_decid_2 [Type],0,8,0.003597474502401332,32,12
conif_3_to_decid_2 [Type],0,8,0.0019557312701091734,33,12
decid_1_to_decid_3 [Type],0,8,0,11,13
decid_2_to_decid_3 [Type],0,8,0.015588872225272277,12,13
mixt_1_to_decid_3 [Type],0,8,0,21,13
mixt_2_to_decid_3 [Type],0,8,0.001510411909670828,22,13
mixt_3_to_decid_3 [Type],0,8,0.010145972093069666,23,13
conif_1_to_decid_3 [Type],0,8,0,31,13
conif_2_to_decid_3 [Type],0,8,9.450456005599683e-5,32,13
conif_3_to_decid_3 [Type],0,8,1.7763567064377206e-4,33,13
decid_1_to_mixt_1 [Type],0,8,0.009356262336528531,11,21
decid_2_to_mixt_1 [Type],0,8,0.0028788500903315084,12,21
decid_3_to_mixt_1 [Type],0,8,8.834988271568811e-4,13,21
mixt_2_to_mixt_1 [Type],0,8,0.1458192004661033,22,21
