StratumID,TransitionGroupID,Amount,Timestep,TertiaryStratumID,srcClassID,destClassID
NA,conif_3_to_conif_2 [Type],0.24915677952006843,0,8,33,32
NA,decid_1_to_conif_3 [Type],0,0,8,11,33
NA,decid_2_to_conif_3 [Type],0,0,8,12,33
NA,decid_3_to_conif_3 [Type],0,0,8,13,33
NA,mixt_1_to_conif_3 [Type],0,0,8,21,33
NA,mixt_2_to_conif_3 [Type],3.114854336325745e-4,0,8,22,33
NA,mixt_3_to_conif_3 [Type],0,0,8,23,33
NA,conif_1_to_conif_3 [Type],0,0,8,31,33
NA,conif_2_to_conif_3 [Type],0.023814078702753982,0,8,32,33
NA,decid_2_to_decid_1 [Type],0.0604794548048978,0,9,12,11
NA,decid_3_to_decid_1 [Type],0.09552114938201728,0,9,13,11
NA,mixt_1_to_decid_1 [Type],0.05014484032776245,0,9,21,11
NA,mixt_2_to_decid_1 [Type],0.04449815227776732,0,9,22,11
NA,mixt_3_to_decid_1 [Type],0.0011084429787531214,0,9,23,11
NA,conif_1_to_decid_1 [Type],0.003103990933576939,0,9,31,11
NA,conif_2_to_decid_1 [Type],1.8097909839631665e-4,0,9,32,11
NA,conif_3_to_decid_1 [Type],0,0,9,33,11
NA,decid_1_to_decid_2 [Type],0.12141179453595607,0,9,11,12
NA,decid_3_to_decid_2 [Type],0.3591504540406001,0,9,13,12
NA,mixt_1_to_decid_2 [Type],0.002344669111328024,0,9,21,12
NA,mixt_2_to_decid_2 [Type],0.08280721847994466,0,9,22,12
NA,mixt_3_to_decid_2 [Type],0.0856470271626586,0,9,23,12
NA,conif_1_to_decid_2 [Type],0,0,9,31,12
NA,conif_2_to_decid_2 [Type],0.008541728481655908,0,9,32,12
NA,conif_3_to_decid_2 [Type],0.0026333159601679146,0,9,33,12
NA,decid_1_to_decid_3 [Type],0,0,9,11,13
NA,decid_2_to_decid_3 [Type],0.015852201390516574,0,9,12,13
NA,mixt_1_to_decid_3 [Type],0,0,9,21,13
NA,mixt_2_to_decid_3 [Type],8.155732904426838e-4,0,9,22,13
NA,mixt_3_to_decid_3 [Type],0.008157347972425066,0,9,23,13
NA,conif_1_to_decid_3 [Type],0,0,9,31,13
NA,conif_2_to_decid_3 [Type],0,0,9,32,13
NA,conif_3_to_decid_3 [Type],0,0,9,33,13
NA,decid_1_to_mixt_1 [Type],0.006900979562354359,0,9,11,21
NA,decid_2_to_mixt_1 [Type],0.0030222084690439965,0,9,12,21
NA,decid_3_to_mixt_1 [Type],5.491991260918594e-4,0,9,13,21
NA,mixt_2_to_mixt_1 [Type],0.13312036273728922,0,9,22,21
NA,mixt_3_to_mixt_1 [Type],0.008529731185110134,0,9,23,21
NA,conif_1_to_mixt_1 [Type],0.5500229574267428,0,9,31,21
NA,conif_2_to_mixt_1 [Type],0.037248183361075604,0,9,32,21
NA,conif_3_to_mixt_1 [Type],0.004612874677862977,0,9,33,21
NA,decid_1_to_mixt_2 [Type],0.0013763807725944988,0,9,11,22
NA,decid_2_to_mixt_2 [Type],0.007709227078383507,0,9,12,22
